title,frequency,text_unit_ids
ACKNOW- LEDGES,1,[0]
ADAM,1,[0]
ADMIRABLE COMPOUND,1,[0]
ALCAHEST,1,[0]
ARGENT,1,[0]
ART,1,[0]
ARTEFIUS,1,[0]
ARTIST CUTS,1,[0]
ASTRAL,1,[0]
BALM,1,[0]
BATH,1,[0]
BLACK,1,[0]
BLACK DRAGON,1,[0]
BLACK FAECES,1,[0]
BLACKEST BLACK,1,[0]
BODY,1,[0]
BOIL,1,[0]
BRIGHTNESS WHEREWITH,1,[0]
CELESTIAL WATER,1,[0]
CHALYBES,1,[0]
CHASTE DIANA,1,[0]
CLEAR FOUNTAIN,1,[0]
COMMON CALCINATION,1,[0]
COMMON VINEGAR,1,[0]
COMPOUND,1,[0]
CONVENIENT DIGESTION,1,[0]
CONVERT,1,[0]
COSMOPOLITE,1,[0]
CROW,1,[0]
CULTIVATE,1,[0]
DARK PRISONS,1,[0]
DIFFERENT DEGREES,1,[0]
DIFFERENT GENDERS,1,[0]
DIFFERENT NAMES,1,[0]
DIFFERENT SUBSTANCES,1,[0]
DIVINE,1,[0]
DIVINE WATER,1,[0]
DREDGY EARTH,1,[0]
DRY WATER,1,[0]
EARTH,1,[0]
ELEMENTARY FIRE,1,[0]
EQUIVOCAL TERMS,1,[0]
ESSENTIAL POINT,1,[0]
ESSENTIAL THING,1,[0]
EUDOXUS,1,[0]
EUDOXUS THE FIRST KEY,1,[0]
EXACT PURIFICATION,1,[0]
EXTERNAL THINGS,1,[0]
EXUBERANT PONTICITY,1,[0]
FAITH,1,[0]
FAITHFUL FRIEND,1,[0]
FATHER,1,[0]
FIERY ESSENCE,1,[0]
FIERY SALT,1,[0]
FIXED,1,[0]
FIXITY,1,[0]
FLAMMEL,1,[0]
FORM,1,[0]
FOURTH KEY,1,[0]
FULL INSTRUCTIONS,1,[0]
GEBER,1,[0]
GOD,1,[0]
GOLD COUPLES,1,[0]
GOOD BOOKS,1,[0]
GOOD PART,1,[0]
GOOD REASON,1,[0]
GREAT MYSTERY,1,[0]
GREAT SATISFACTION,1,[0]
GREAT SEA,1,[0]
GREAT TRUTH,1,[0]
GREAT UNDERSTANDING,1,[0]
HAPPY DELIVERANCE,1,[0]
HEAVEN,1,[0]
HENCE,1,[0]
HERMES,1,[0]
HOMOGENEOUS SUBSTANCE,1,[0]
HUMIDITY,1,[0]
IGNEOUS SPIRIT,1,[0]
IMBIBITION,1,[0]
IMPORTANT OPERATIONS,1,[0]
IMPORTANT POINT,1,[0]
INESTIMABLE PRICE,1,[0]
INGENIOUS ALLEGORY,1,[0]
INNOCENTS,1,[0]
INSPIRATION,1,[0]
INTENTION,1,[0]
INTIMATE UNION,1,[0]
JEW,1,[0]
JOHN PONTANUS,1,[0]
KEY,1,[0]
KEYS,1,[0]
KING BATHES,1,[0]
LAND,1,[0]
LAWS,1,[0]
LENGTH REVIVES,1,[0]
LIGHTS,1,[0]
LONG DISCOURSE,1,[0]
LONG TIME,1,[0]
LONG TRAIN,1,[0]
LUNARIA,1,[0]
LYNX,1,[0]
MAGIC,1,[0]
MAGICAL UNION,1,[0]
MAGISTERY,1,[0]
MANNER THEREOF,1,[0]
MATTER,1,[0]
MEDICINE,1,[0]
MEDITATE NIGHT,1,[0]
MEDITATE THEREON,1,[0]
MEDITATION,1,[0]
MERCURIAL LIQUOR,1,[0]
MERCURIAL WATER,1,[0]
MERCURY,1,[0]
MIND SUBLIME,1,[0]
MOISTEN OFTENTIMES,1,[0]
MOON,1,[0]
MYSTERIOUS FOUNTAIN,1,[0]
MYSTERY,1,[0]
NATURAL CALCINATION,1,[0]
NATURAL FIRE,1,[0]
NATURAL FORCE,1,[0]
NATURAL MIRACLE,1,[0]
NATURAL PRINCIPLES,1,[0]
NATURE,1,[0]
NECESSARY LEAVEN,1,[0]
NEW LIFE,1,[0]
NEW MATTER,1,[0]
NEW SUBSTANCE,1,[0]
OLD MAN,1,[0]
OPEN SEA,1,[0]
OPERATIONS,1,[0]
OWN HUMIDITY,1,[0]
OWN SPECIES,1,[0]
OWN SULPHUR,1,[0]
PAINFUL JOURNEY,1,[0]
PELICAN,1,[0]
PERFECT BODY,1,[0]
PERFECT DISSOLUTION,1,[0]
PERFECT KNOWLEDGE,1,[0]
PERFECT UNION,1,[0]
PHILOSOPHERS ATTRIBUTE,1,[0]
PHILOSOPHIC CALCINATION,1,[0]
PHILOSOPHIC CONFECTION,1,[0]
PHILOSOPHICAL CALCINATION,1,[0]
PHILOSOPHICAL MANNER,1,[0]
PHILOSOPHICAL PASTE,1,[0]
PHLEGM ASCEND,1,[0]
PONTICK,1,[0]
POWERFUL AGENT,1,[0]
PRAYER,1,[0]
PRECIOUS EARTH,1,[0]
PRECIOUS FERMENT,1,[0]
PRECIOUS JUICE,1,[0]
PRECIOUS LIQUOR,1,[0]
PRECISE KNOWLEDGE,1,[0]
PREPARATION,1,[0]
PRINCIPAL POINT,1,[0]
PRINCIPLES,1,[0]
PROFOUND PHILOSOPHY,1,[0]
PROMISE,1,[0]
PURE PARTS,1,[0]
RADICAL HUMIDITY,1,[0]
RAVEN,1,[0]
REDUCE,1,[0]
ROYAL BATH,1,[0]
SAGES,1,[0]
SAL AMONIAC,1,[0]
SALAMANDER,1,[0]
SECRET FIRE,1,[0]
SECRET UNION,1,[0]
SECRET WAY,1,[0]
SENIOR,1,[0]
SERPENT,1,[0]
SHARP VINEGAR,1,[0]
SINCERE HEART,1,[0]
SLIME,1,[0]
SLOW DISTILLATION,1,[0]
SPIRIT,1,[0]
SPIRITS DESIRE,1,[0]
STONE,1,[0]
STRAIGHT WAY,1,[0]
SUN,1,[0]
TENDER AFFECTION,1,[0]
TERRESTRIAL PARTS,1,[0]
THE FIFTH KEY,1,[0]
THE FOURTH KEY,1,[0]
THE SECOND KEY,1,[0]
THE SIXTH KEY,1,[0]
THE THIRD KEY,1,[0]
THEREIN SUPERFLUOUS,1,[0]
TREVISAN,1,[0]
TRUE CHARACTER,1,[0]
